Stopień:,,7,7,7,7,7,7
Rząd dyn.,,7,8,9,10,11,12
Dane:,Typ:,,,,,,
Ucz,Bez rek.,6.03,5.83,5.69,5.48,5.32,5.25
Ucz,Z rek.,5.96,5.67,5.57,5.44,5.34,5.31
Wer,Bez rek.,8.56,8.25,8.07,8.08,7.96,7.96
Wer,Z rek.,8.73,8.55,8.45,8.28,8.16,8.27
